,Price,Close,High,Low,Open,Volume,Daily_Return
0,Ticker,,,,,,
232,2020-12-02,655.4732055664062,667.0504284490065,649.8127800267889,666.6776997890113,17892150.0,-0.01838405937917087
233,2020-12-03,641.6132202148438,667.1435985499762,640.1457361473225,665.7459513463101,37933222.0,-0.021145006743007677
234,2020-12-04,645.526611328125,652.9108356424312,639.7962922032295,643.3835637642517,26912322.0,0.006099299375363243
235,2020-12-07,639.3070068359375,642.8942779137108,632.7147607038116,640.5881832023422,24316318.0,-0.009634931206617625
236,2020-12-08,641.19384765625,647.0173765462821,635.9992485122616,640.588177903527,19457896.0,0.0029513845462931787
237,2020-12-09,655.589599609375,656.9174097615517,640.6115280229831,641.5199758288281,22069074.0,0.02245148172544953
238,2020-12-10,645.64306640625,653.1670780012442,640.9376658774692,651.3035485347642,19727966.0,-0.01517188986684892
239,2020-12-11,644.22216796875,649.905910169742,639.6564979663483,647.5998151721411,21356384.0,-0.002200749162240556
240,2020-12-14,639.2605590820312,646.644783892893,637.3271357099983,644.3153718471693,17222050.0,-0.007701704681108423
241,2020-12-15,648.1821899414062,649.8826151632962,636.3953427628618,643.2904248616038,21561436.0,0.013956172850998927
242,2020-12-16,657.2202758789062,660.062204002033,649.673003782129,654.0988865615698,16832092.0,0.013943743098397965
243,2020-12-17,671.709228515625,673.2000293618969,654.3317932448334,660.9007233337297,21924478.0,0.022045808944866296
244,2020-12-18,657.5230712890625,670.7308250997335,655.1703994436521,668.5412007096832,22995918.0,-0.021119491327983853
245,2020-12-21,639.4935302734375,663.3466879919946,636.7214956867946,660.3883459292866,23761824.0,-0.02742039299134924
246,2020-12-22,639.703125,645.1539833124564,626.611840669391,645.1539833124564,22851558.0,0.00032775112904248616
247,2020-12-23,640.89111328125,643.3602557955827,634.0892418451367,637.0941604754499,15467394.0,0.0018570931340220476
248,2020-12-24,650.88427734375,654.0988772169751,641.5200526551101,647.2970056798262,14952188.0,0.015592608253431228
249,2020-12-28,658.221923828125,662.0188766835374,654.0988760476331,654.5647584379803,11699194.0,0.011273350332442922
250,2020-12-29,664.9073486328125,668.4247835544119,661.553018050019,662.0422173256148,14495346.0,0.010156794483243692
251,2020-12-30,667.3765869140625,670.8241283008254,658.2918794482166,670.8241283008254,16216726.0,0.0037136576792651255
